Utility Name,City,State,Total Number of Contaminants
Albermarle County Service Authority,Charlottesville,Virginia,6
Amherst Count Service Authority,Madison Heights,Virginia,16
Arlington County,Arlington,Virginia,35
Bedford Regional Water Authority,Bedford,Virginia,10
Bristol Virginia Utility Board,Bristol,Virginia,18
Buchanan County PSA,Vansant,Virginia,19
Campbell County Central System,Lynchburg,Virginia,15
Chesterfield County Central Water System,Chesterfield,Virginia,13
City of Alexandria,Alexandria,Virginia,29
City of Charlottesville,Charlottesville,Virginia,13
City of Chesapeake - Northwest River System,Chesapeake,Virginia,20
City of Chesapeake - Western Branch System,Chesapeake,Virginia,21
City of Chesapeake - South Norfolk System,Chesapeake,Virginia,24
City of Colonial Heights,Colonial Heights,Virginia,19
City of Danville,Danville,Virginia,17
City of Fredricksburg,Fredericksburg,Virginia,16
City of Harrisonburg,Harrisonburg,Virginia,16
City of Lynchburg,Lynchburg,Virginia,18
City of Manassas,Manassas,Virginia,14
City of Manassas Park,Manassas Park,Virginia,15
City of Martinsville,Martinsville,Virginia,18
City of Newport News,Newport News,Virginia,23
City of Norfolk,Norfolk,Virginia,23
City of Petersburg,Petersburg,Virginia,20
City of Portsmouth,Portsmouth,Virginia,20
City of Radford,Radford,Virginia,16
City of Salem WTP,Salem,Virginia,13
City of Staunton,Staunton,Virginia,12
City of Suffolk,Suffolk,Virginia,17
City of Virginia Beach,Virginia Beach,Virginia,23
City of Waynesboro,Waynesboro,Virginia,14
City of Williamsburg,Williamsburg,Virginia,19
City of Winchester,Winchester,Virginia,15
Dale City,Alexandria,Virginia,30
East End Service Area - Prince William County Service Authority,Woodbridge,Virginia,27
Fairfax County Water Authority,Fairfax,Virginia,26
Fort Belvoir,Ft. Belvoir,Virginia,16
Fort Eustis,Fort Eustis,Virginia,23
Fort Lee,Hopewell,Virginia,19
Frederick County Sanitation Authority,Winchester,Virginia,18
Front Royal,Front Royal,Virginia,16
Hanover Suburban Water System,Hanover,Virginia,17
Henrico County Water System,Henrico,Virginia,16
Herndon,Herndon,Virginia,26
James City Service Authority - Central System,Williamsburg,Virginia,17
Lake Monticello,Rockville,Virginia,24
Langley Air Force Base,Joint Base Langley-eustis,Virginia,23
Leesburg,Leesburg,Virginia,18
Loudoun Water - Central System,Ashburn,Virginia,23
New Baltimore Regional,Warrenton,Virginia,14
Norfolk Naval Base,Norfolk,Virginia,24
Norfolk Naval Shipyard,Portsmouth,Virginia,21
Prince Wiliam County Service Authority - West,Woodbridge,Virginia,14
Quantico Marine Base - Mainside,Quantico,Virginia,18
South River Sanitary District,Verona,Virginia,11
Sportslyvania County Utilities,Fredericksburg,Virginia,16
Safford County Utilities,Stafford,Virginia,16
Three Springs Regional - Rcpw,Harrisonburg,Virginia,10
Town of Blacksburg,Blacksburg,Virginia,15
Town of Christiansburg,Christiansburg,Virginia,14
Town of Culpeper,Culpeper,Virginia,22
Town of Vienna,Vienna,Virginia,28
Town of Warrenton,Warrenton,Virginia,18
Upper Smith River Water Supply,Collinsville,Virginia,17
Vinton,Vinton,Virginia,14
Virginia-American Water Company,Alexandria,Virginia,22
Washington County Service Authority,Abingdon,Virginia,18
Western Virginia Water Authority,Roanoke,Virginia,29
Wilderness WTP,Ruckersville,Virginia,10
Wise County Regional Water System,Wise,Virginia,15
Artesian Water Company,Newark,Delaware,43
Bethany Bay Ocean View,Dover,Delaware,23
Bethany Beach Water Department,Bethany Beach,Delaware,13
Camden District,Dover,Delaware,16
Dewey Beach Water Department,Frankford,Delaware,17
Dover Water Department,Dover,Delaware,25
Long Neck Water Company,Long Neck,Delaware,12
Meadow District,Dover,Delaware,14
Middletown Water Department,Midletown,Delaware,20
Newark Water Department,Newark,Delaware,25
Rehoboth Beach Water Department,Rehoboth Beach,Delaware,14
Rehoboth District,Dover,Delaware,23
Smyrna Water Department,Smyrna,Delaware,26
South Bethany,Newark,Delaware,25
Suez Water Delaware,Wilmington,Delaware,26
Sussex Shores Water Company,Bethany Beach,Delaware,9
Wilmington Water Department,Wilmington,Delaware,31
Hilo,Hilo,Hawaii,12
Honolulu-Windward-Pearl Harbor,Honolulu,Hawaii,23
Joint Base Pearl Harbor-Hickam,Jbphh,Hawaii,18
Kalaheo-Koloa,Lihue,Hawaii,14
Lahaina,Wailuku,Hawaii,21
Lihue-Kapaa,Lihue,Hawaii,26
Makawao,Wailuku,Hawaii,23
Marine Corps Base Hawaii,Kaneohe Bay,Hawaii,23
Mililani,Honolulu,Hawaii,11
North Kona,Hilo,Hawaii,14
Schofield Barracks,Schofield Barracks,Hawaii,8
South Kohala,Hilo,Hawaii,13
Wahiawa,Honolulu,Hawaii,14
Waialua,Honolulu,Hawaii,13
Waikoloa,Waikoloa,Hawaii,13
Wailuku,Wailuhu,Hawaii,20
Waipahu-Ewa-Waianae,Honolulu,Hawaii,23
Waipio Heights,Honolulu,Hawaii,13
